FID_Fresno_fields,TNC,Krat,Kitfox,Corridors,CPAD
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,17.09171149
9,0,0,0,30.99338454,0
10,0,0,0,0,0
11,0,0,21.52943011,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,0
15,0,0,0,0,0
16,0,0,0.256316504,0,0
17,0,0,0,0,32.89435753
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,2.729779503
25,0,0,0,3.715150906,0
26,34.33830335,0.858457584,0,34.33830335,0
27,0,0,0,0,0
28,0,0,0,0,0
29,0,0,0,0,0
30,0,0,0,0,0
31,0,0,0,0,0
32,0,0,0.78932904,0,0
33,0,0,0.231446382,0,0
34,0,0,0,0,0
35,0,0.473950269,0,0,0
36,0,0,0,0,5.999174125
37,0,0.475681868,0.475681868,0,0
38,0,0,0,0,0
39,0,0,0,0,5.332656158
40,0,0,0,0,62.04790464
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,1.888489094
44,0.670106979,0,0,0,0
45,0,0,0,0,0
46,0,0,0,26.36672243,0
47,0,0,0,0,0
48,0,0,0,0,26.46140266
49,0,0,0,0,6.882971972
50,0,0,0.447216569,0,0
51,0,3.250104364,3.250104364,0,75.8357685
52,0,0,1.482723276,0,0
53,0,2.021787045,2.779957188,28.8104654,0
54,0,0,60.23360596,0,0
55,0,0,0,0,0
56,0,0,0,0,0
57,0,0,0,0,0
58,0,0,0,0,0
59,0,0,0,0,9.938665233
60,0,0,0,0,0
61,12.90842019,0,0,14.86424143,0
62,0,0,0,0,0
63,0,0,0.883846881,0,176.7693762
64,0,0,0,0,0
65,0,0,0,0,0
66,0,15.11884447,19.35212092,0,75.59422236
67,0,0,0,0,0
68,0,0.551322318,0,36.7548212,36.7548212
69,0,0,0,0,38.4406312
70,0,0,0,0,7.708934241
71,0,0,0,0,0
72,0,0,0,0,7.051498992
73,0,0,0,0,0
74,9.449130768,0,0.661439154,0,0
75,0,0,0,0,0
76,0,0,0,0,0
77,0,0,0,0,0
78,0,0,0,0,16.60064003
79,0,0,0,0,0
80,0,0,0,0,0
81,0,0,0,0,0
82,0,0,0,0,67.87491573
83,0,0,0,0,0
84,0,0,0,0,0
85,0,0,0,0,0
86,0,0,0,0,0
87,0,0,0,0,0
88,0,0,0,0,4.399753605
89,0,0,0,0,0
90,0,0,0,0,0
91,0,5.974937643,16.7298254,0,0
92,0,0,0,0,205.881835
93,0,0,0,0,2.740928059
94,0,0,0,0,0
95,0,0,0,0,0
96,0,0,0,0,10.60087983
97,0,0,0,0,6.834480085
98,1.045773584,0.016732377,0,1.623040603,0
99,0,0,0,4.172817119,0
100,0,0,0,0,0
101,0,0.170672024,0,0,0
102,0,0,0,0,0
103,0,2.066520779,5.424617046,33.83927776,0
104,0,0,0,0,0
105,27.10030461,0.544425762,17.42162439,72.59010163,45.18733827
106,0,0,0,0,0
107,0,0,0,0,3.484310252
108,0,0,0,0,1.622139751
109,0,0,0,0,2.766319861
110,0,0,0,0,0
111,0,0,0,0,19.85059848
112,5.715026372,0,0,0,0
113,0,0,0.276616945,0,0
114,0,0,0,0,38.48577384
115,0,0,0,0,9.178477936
116,0,0,0.725001241,0,0
117,0,0,0,0,9.538489455
118,0,0,0,0,3.720875118
119,0,0,1.288029866,0,0
120,0,0,0,0,0
121,0,0,0,0,0
122,0,0,0,0,0
123,0,0,0,0,0
124,0,0.234728909,0,0,0.695158691
125,0,0,0,0,0
126,0,0,0.78262532,0,0
127,0,0,3.871845538,0,0
128,0,0,0,0,7.948391724
129,0,0,0,0,0
130,0,0,3.331523682,0,0
131,0,0,0,0,0
132,0,0,0,9.310490994,0
133,0,0,0,0,0
134,0,0,0,0,0
135,0,0,0,0,0
136,0,0,0,0,0
137,0,0,0,0,0
138,0,0,0,0,0
139,0,0,0,0,50.33363106
140,0,0,0,0,0
141,0,0,0,0,0
142,0,0,0,36.95878654,0
143,0,0,0,0,0
144,0,0,0,0,0
145,0,0,0.382711121,0,0
146,0,0,0,0,0
147,0,0,0,0,8.642288548
148,0,0,0,0,0
149,0,0,0,0,1.063651624
150,0,0,0,0,0
151,0,0,0,0,0
152,0,0,0,0,0
153,0,0,0,0,0
154,6.217954859,1.877118448,0,23.4639806,0
155,7.778176188,0,0.149580311,0,0
156,0,0,0,0,0
157,0,0,0,0,26.78904327
158,0,0,1.694491696,0,0
159,0,0,0,0,0
160,0,0,0,0,0
161,0,0,0,0,0
162,0,0,0,0,37.32218159
163,0,0,4.343471237,0,0
164,0,0,0,0,0
165,0,0,0.554960582,0,0
166,0,0,0,0,0
167,0,0,0,0,0
168,0,0,0,0,8.234756448
169,0,0,0,0,0
170,0,0,0,0,4.610552089
171,54.03119312,0.717228227,57.85641033,0,111.1703752
172,0,0,0,0,0
173,0,0,0,0,0
174,0,0,0,0,6.831399942
175,0,0,0,0,1.145049062
176,0,0,0,0,0.123204676
177,0,0,0,0,15.67116449
178,0,0,0,7.580833174,0
179,0,0,0,0,0
180,0,0,0,0,0
181,0,3.038727869,9.116183608,0,256.772505
182,0,0,0,0,0
183,0,0,0,0,0
184,0,0,0,0,3.744389754
185,0,0,0.275156003,0,0
186,0,0,0,0,0
187,0,0,0,3.120788857,0
188,0,0,0,0,0
189,0,0,0,0,10.74299106
190,0,0,0,0,39.03979314
191,0,0,0,0,3.206860231
192,0,0,0,0,0
193,0,0,0,0,0
194,0,0,0,0,0
195,0,0,0,0,75.87111177
196,0,0,0,73.57598328,78.27232264
197,0,0.37156662,0,0,74.31332401
198,0,0,0,0,3.992622924
199,0,0,0,0,0
200,0,0,0,0,0
201,0,0,0,0,12.33253022
202,19.98435155,0,8.490888282,15.50510034,0
203,0,0,30.62751608,0,0
204,0,0,0,0,4.082789108
205,0,0,0,0,0
206,0,0,0,0,2.114127946
207,0,0,0.07013628,0,0
208,0,0,0,0,0
209,0,0,0,0,0
210,0,0,0,0,0
211,42.89168949,1.286750685,2.144584474,0,42.89168949
212,0,0,0,0,0
213,0,0,0,0,0
214,0,0,0.719357077,0,0
215,0,1.406518024,0,0,0
216,0,0,2.243090727,0,0
217,0,0,0,0,74.88873963
218,0,0,0,0,0
219,0,0,0,0,0
220,0,0,0,0,8.7198568
221,0,0,0,0,0
222,0,0,0,0,0
223,0,0,0,0,0
224,0,0,0,0,6.998123147
225,0,0,0,0,7.085469347
226,0,0,0,0,0
227,0,0,0,0,0
228,0,0,0.14715422,0,0
229,0,0,3.376914622,0,0
230,0,0,0,0,0
231,0,0,0,0,0
232,0,0,0,0,0
233,0,0,0,0,0
234,0,0,0,0,0
235,0,0,0,0,0
236,0,0,0,0,0
237,0,0,0,0,0
238,0,0,0,0,0
239,0,15.71243172,22.66216113,0,0
240,0,0,0,0,19.20900177
241,0,0,0,0,0
242,0,0,0,0,9.072865351
243,0,0,0.396111496,0,0
244,0,0.494601584,1.088123484,0,49.46015836
245,0,0,0.077817632,0,0
246,0,0,0,0,0
247,0,0,0,8.236131991,0
248,0,2.130482602,4.260965205,0,0
249,0,0,0,0,0
250,0,0,2.528727515,0,0
251,0,0,0,0,0
252,0,0,0,0,1.339866261
253,0,0,0,0,19.52580881
254,0,0,0,0,0
255,0,0,20.54239049,62.40235602,0
256,0,0,0,0,0
257,0,0,0.149314309,0,0
258,0,1.178130069,2.046225909,0,0
259,0,0,0,0,0
260,0,0,1.686421738,0,0
261,0,0,0,0,0
262,0,6.561326414,11.7898834,20.50414505,20.50414505
263,0,0,0,0,4.092891311
264,0,0,0,0,0
265,0,0,0,0,0
266,0,0,0,0,0
267,0,0,0,0,0
268,0,0,15.45449846,0,0
269,0,0,1.879546833,0,1.503637466
270,0,0,0,0,0
271,0,0,0,0,0
272,0,0,0,0,1.488610747
273,0,0,0,0,0
274,0,0,0,0,0
275,0,0,10.92451841,21.56154949,21.56154949
276,0,9.808451574,28.02414735,0,32.35515195
277,0,0,0,0,10.09177162
278,0,0,0,0,0
279,0,0,0,0,0
280,0,0,0,0,0
281,0,0,0,0,0
282,0,0,0,0,0
283,0,0,0,0,33.60287445
284,0,0,0,0,0
285,0,0,0,0,0
286,0,0,0,0,6.023031651
287,0,0,0,0,0
288,0,0.976805079,2.604813545,0,0
289,0,0,0,0,0
290,0,0,0,0,0
291,0,0.533789889,3.402910544,0,11.8101013
292,0,0,0.282245477,0,0
293,0,0,0,0,0
294,0,0,0,0,0
295,0,0,0.706260615,0,35.31303075
296,0,0,0,0,0
297,0,0,9.083697926,0,46.57459664
298,0,0,0.285217067,0,0
299,0,0,0,0,213.4512776
300,0,0,0,0,0
301,0,8.090776842,13.86990316,18.60878674,23.11650526
302,0,0,0,0,0
303,0,0,0.713182371,0,0
304,0,0,0,0,38.72129629
305,0,0,0,0,0
306,0,0,0,15.72462137,0
307,0,0,0,0,0
308,0,0,0,0,0
309,0,0,0,0,0
