FID_Kern_fields,TNC,Krat,Kitfox,Corridors,CPAD
0,0,0,0,0,0
1,0,1.170062076,2.145113805,40.36714161,0
2,0,1.54365509,41.67868742,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,17.7354088
6,0,1.547111799,1.785128999,0,0
7,0,0,0,0,0
8,0,0,2.032693768,0,0
9,28.20472421,0.154971012,2.479536194,0,30.99420243
10,0,11.96651437,19.52431292,60.67232726,62.66674632
11,0,0,0,0,0
12,0,0,15.87195073,0,0
13,0.836880661,0,0,0,0
14,0,14.67209025,28.77986934,5.266904194,74.86528104
15,0,0,0,0,0
16,0,0,7.250113406,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,42.97122557,0
24,0,0,0,0,0
25,0,0,0,30.84178612,108.2167934
26,17.77855468,0,0,0,74.07731115
27,0,0,0,0,0
28,0,0,0,0,0
29,0,0.178329927,0.356659853,5.706557655,1.06997956
30,0,1.104179983,2.208359966,0,19.48552911
31,0,0,0,0,0
32,10.94314036,0,0,0,0
33,0,2.404530343,2.954137279,0,20.61026008
34,0,0,0,0,0
35,0,0,0,0,19.35640957
36,0,0,0,0,0
37,0,44.65822224,82.33859726,0,0
38,0,0,2.965476899,0,0
39,17.35019211,0,0.433754803,0,0
40,0,0,0,0,0
41,0,0,1.527397688,0,0
42,0,0,1.241584026,0,0
43,0,0,6.996715807,0,0
44,0,6.907001626,19.18611563,4.220945438,0
45,63.22772855,0,34.04569999,0,69.48102038
46,0,0,0,0,0
47,0,0,1.693463857,0,0
48,0,0,0,0,0
49,0,0,0,0,0
50,0,0,0,0,0
51,0,0,0,0,0
52,0,0,0,0,0
53,0,0,0,0,185.0209719
54,0,0,0,0,0
55,0,0,0,0,0
56,0,0,0,0,0
57,0,0,0.329950305,0,0
58,3.579236515,0,0,0,0
59,0,0.030184829,0.060369657,0,0
60,0,0,0,0,0
61,40.79682645,0,0,0,40.79682645
62,0,0,0,0,21.19516835
63,0,0.376425833,2.63498083,75.28516658,75.28516658
64,0,0,0,0,3.922815256
65,0,0,0.135059541,0,0
66,0,0,4.997625221,0,0
67,0,0,0,0,0
68,0,0,0,0,0
69,0,0,0.629222081,0,0
70,0,24.21825005,43.67225419,69.8756067,0
71,0,0,0,0,0
72,0,0,42.08870004,0,0
73,0,0.789602174,1.579204348,31.58408695,0
74,0,0,4.016726093,0,0
75,0,0,0,0,0
76,0,0,0,7.280842792,0
77,0,0,0,0,0
78,0,0,0,3.459638873,34.59638873
79,0,0.150629951,0.903779709,29.97536033,0.301259903
80,0,0,0,0,0
81,21.12697828,0,19.93111158,0,79.72444634
82,0,0,0,0,0
83,0,0,0.728326303,0,2.184978908
84,0,0,0,0,0
85,0,0,0.367832009,0,73.56640185
86,0,0,0,0,0
87,0,0,0,0,0
88,0,0,0.30887568,0,0
89,3.798486558,0,0,0.422054062,42.2054062
90,0,0,0,0,4.388723516
91,0,0,14.63104226,0,0
92,0,0,0,0,0
93,0,0,0,0,68.04963191
94,0,0,0,0,0
95,0,0,0,0,0
96,0,0,0.14689547,0,0
97,0,0,0,0,0
98,0,0,0,0,0
99,0,0,0,0,0
100,0,1.591965211,2.694094972,18.36882936,0
101,0,0,0,0,0
102,0,0.191361898,0.956809491,0,8.706966365
103,0,0,0,0,0
104,0,0,0,0,68.73382767
105,0,0,0,0,0
106,0,0,0.363139396,0,0
107,0,0,11.21864916,0,0
108,0,22.15418624,34.40414805,0,0
109,0,0.382727662,3.061821292,4.9754596,76.5455323
110,0,0,0,0,0
111,0,0,1.163901585,0,0
112,0,0,0,0,0
