FID_Kings_fields,TNC,Krat,Kitfox,Corridors,CPAD
0,0,0,0.247372939,0,0
1,0,0,0,0,0
2,0,0,0.283277344,0,0
3,0,0,11.89792636,0,59.1765285
4,0,0,0,0,0
5,0,0,0.732464677,0,0
6,0,0,0,0,0
7,0,0,0.345500391,0,76.35558637
8,0,0,0.097580106,0,0
9,0,0,21.76084803,0,0
10,0,0,0,0,0
11,0,0,2.883777081,0,41.19681544
12,0,0,0.147767498,0,0
13,0,0,2.846893315,0,0
14,0,0,0,83.26217205,0
15,0,0,50.10984375,0,0
16,1.047084501,0,0.155948755,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0.308273009,0,0
20,0,0,0,0,0
21,0,0,0.373114596,0,0
22,0,0,0,0,0.338702942
23,0,0,0,0,0
24,0,0,1.44697113,0,0
25,0,0,0,0,0
26,0,0,0,0,0
27,0,0.845201803,1.803097179,0,0
28,0,0,0,0,0
29,0,0,0,0,0
30,0,0,0,0,0
31,0,0,0.623333206,0,0
32,20.78340472,0,0.103917024,0,0
33,0,0.371253636,18.19142817,0,0
34,0,0,1.470778325,0,0
35,0,5.169429183,7.466953264,0,0
36,7.600162307,0,0,0,0
37,0,0,4.252988359,0,0
38,0,0,0.418662171,0,0
39,0,0,0,0,0
40,0,0,0,0,0
41,0,0,0.351595513,0,0
42,0,0,2.350432341,0,0
43,0,0,4.891028906,0,0
44,0,0,1.453417319,0,0
45,0,0.201733491,0.941422959,0,0
46,0,17.54643835,26.19250941,0,0
47,0,0,0,0,0
48,5.622744254,0,0,0,0
49,0,0,0,0,0
50,0,0.940129616,7.207660392,0,0
51,0,0,0,0,0
52,0,0,0,0,0
53,0,0,0.7940621,0,0
54,5.352082476,0,0.053520825,0,0
55,0,0,0,0,0
56,0,0,0,0,0
57,0,0,0,0,0
58,2.173032989,0,0,0,0
59,0,0,0,0,0
60,65.00745623,0,0,85.53612662,49.61095344
61,0,0,0,0,0
62,74.16854218,0,0,44.25389683,0
63,0,0,0,0,0
64,0,0,0,0,0
65,0,0.577018332,0,0,0
66,0,0,0,0,0
67,0,0,0,0,0
68,0,0,0,0,0
69,0,0,0,0,0
70,0,0,2.389001178,0,0
71,0,0,0,0,0
72,0,0,0.048405411,0,0
73,0,0,0.744332465,0,0
74,0,0,0,0,0
75,0,0,21.54868517,0,0
76,0,0,0,0,0
77,0,0,0.460198592,0,0
78,0,0.064056879,1.441279788,0,0
79,0,92.85796044,170.0014968,249.5260065,285.7168013
80,0,0,0,0,33.45253746
81,0,0,0,0,0
82,25.64795305,6.877663389,17.05087382,0,0
83,0,0,0.388025575,0,0
84,0,0,22.52631054,0,0
85,0,0,0,0,0
86,75.213654,0,0,0,0
87,0,0,0,0,0
88,0,0,0,0,0
89,0,154.4541787,279.9481988,0,0
90,0,0,0,0,70.92594934
91,0,0,0,0,0
92,0,0,0,0,0
93,0,0,0,0,0
94,0,5.387842254,9.9467857,0,0
95,0,0,0.208741803,0,0
96,28.75368292,0.190421741,0,38.08434824,0
97,0,0,0,0,0
98,0,4.370087986,8.011827975,0,0
99,0,0,16.21329967,0,0
100,0,0,0,0,0
101,0,0,0.365131999,0,0
102,0,0,21.05251536,40.8786706,0
103,0,0,0,0,0
104,0,0,0,0,0
105,0,0,0,0,70.61279575
106,0,0.071624072,0.171897773,0,0
107,0,0,0,0,0
108,0,0,0,227.4176963,0
109,0,0,0,0,0
110,0,0,0,0,0
111,0,0,0.766894594,0,0
112,0,0,0,0,0
113,0,0,0.134958471,0,0
114,0,0,3.114001695,0,0
115,0,0,0,217.3372889,0
116,0,0,0,0,0
117,0,0,18.38815147,0,0
118,0,0,0,0,0
119,0,0,0,0,0
120,0,0,4.880878671,0,0
121,0,0,8.802066295,0,0
122,0,0,20.77707937,0,0
123,0,0,26.0245708,71.30019397,71.30019397
124,0,0,0,0,0
125,0,0,6.631799362,0,0
126,62.92120393,0,0.365820953,0,0
127,0,0,6.882098008,16.51703522,0
128,0,0,0,0,0
129,26.79684964,0,0,0,0
130,0,0,17.97430432,0,0
131,0,0,0,0,0
132,0,0,2.995043068,0,0
133,0,0,0.519546112,0,0
134,0,0,0,0,56.42132566
135,0,0,0,0,0
136,0,0,0,0,0
137,0,0,0,0,0
138,0,0,0.337057287,0,0
139,0,0,2.41486787,0,0
140,0,0,6.479166589,0,0
141,0,0,0,249.2305691,0
142,0,0,0.927639718,0,0
143,0,0,1.794875736,0,3.589751472
144,0,3.03025452,6.06050904,0,0
145,0,0.450776744,2.253883722,0,0
146,0,0,1.255046597,0,0
147,63.19464892,0,1.7885278,119.2351866,119.2351866
148,0,0,6.722323247,8.091685389,0
149,0,0,0,0,0
150,0,0,0,0,0
151,44.99208879,1.451357703,1.451357703,145.1357703,145.1357703
152,0,0,0,0,0
153,2.718164572,0,0,0,0
154,0,0,0,0,0
155,44.52234763,0.222611738,0.667835214,44.52234763,0
156,0,0,0,0,0
157,71.37430329,0,0,0,0
158,0,0,0,0,0
159,0,0,9.560253205,0,0
160,0,0,3.527292606,0,0
161,0,0,0,0,0
162,0,0,0,0,0
163,0,0,0,0,19.51161836
164,1.408216336,0,0,0,0
165,0,0,3.800583006,0,0
166,0,0,0,0,0
167,0,0.804627991,1.355162932,0,0
168,3.78075908,0.420084342,0.980196799,0,0
169,0,0,0,0,0
170,0,0.322280969,0.460401384,0,9.208027676
171,3.441358743,0,0.124386461,0,0
172,0,0,0,0,0
173,0,0,0,0,0
174,0,0,28.21415965,0,156.7453314
175,0,0,9.16672099,0,0
176,0,0,0.005013162,0,0
177,0,0,22.07065608,0,0
178,0,0,2.879055575,0,0
179,0,0,0.192640492,0,0
180,0,0,0,0,0
181,36.48307141,0,1.128342415,75.22282766,0
182,0,0,0,0,0
183,0,0,0,11.35851213,0
184,0,0,0.10717464,0,0
185,0,0,0,0,0
186,0,0,0,0,0
187,71.25685979,0,0,0,0
188,0,0,0.182661584,0,0
189,0,0,0.522416048,0,0
190,0,0,0,0,5.465209329
191,0,0,0,0,3.329982202
192,0,0,0,0,0
193,0,0.353332393,14.1332957,0,0
194,0,0,1.299200664,0,0
195,0,0,0,0,0
196,0,0,0,0,0
197,0,0,0,0,0
198,0,0,0,0,0
199,0,0,2.51015242,0,0
200,0,0,11.78795582,0,0
201,0,0,0,0,0
202,0,0,1.221848044,0,0
203,0,0,4.753166149,0,0
204,0,0,5.856784805,0,0
205,0,0,0.733790735,0,73.37907353
206,2.314298561,0.046285971,0.439716727,0,0
207,0,0,0,0,0
208,0,0,45.09994071,0,0
209,0,0,0,0,0
210,8.265449355,0,0.525548803,0,0
211,0,0,0,0,0
212,9.47071189,0.378828476,0.347259436,0,0
213,0,1.06963541,3.044346936,0,0
214,0,0,1.591422869,0,0
215,0,0,0.260699652,0,0
216,0,0,0.017302896,0,0
217,0,0,0,0,0
218,0,0,9.727695455,0,0
219,0,0,0,0,0
220,0,0,6.645850052,0,0
221,0,0,0,0,0
222,0,0,0,0,0
223,0,0,0,0,45.96780265
224,0,0,0,0,0
225,0,3.50256934,4.184888043,0,4.548791351
226,0,0,0.741319231,0,0
227,0,0,0.091286565,0,0
228,0,0,0,0,0
229,0,0,36.13366275,0,0
230,0,0,0,0,0
231,12.04688162,0.319122692,1.037148749,0,0
232,6.806188021,0,42.43858413,0,0
233,0,0,0,0,0
234,0,0,0.81294484,0,0
235,0,0,0.091534554,0,18.30691074
236,0,0,0,0,5.725385345
237,0,0,0,0,0
238,0,0,1.324605026,0,0
239,0,0,0.567293721,0,0
240,0,0,0,0,0
241,0,0,0,0,0
242,0,0,0,0,0
243,29.14614907,0,0,42.54912273,0
244,0,0,0,36.65168641,0
245,7.684664127,0.038423321,1.101468525,0,0
246,0,0,3.337064327,0,0
247,0,0,0.060490666,0,0
248,0,0,32.27433015,0,59.76727806
249,0,0,0,0,0
250,70.95932375,0,0,0,0
251,0,0,0,0,0
252,0,0,0.191388275,0,0
253,0,0,2.216821791,0,0
254,0,0,0.504247319,0,45.38225872
255,0,0,0,31.90336133,0
256,0,0,0,0,0
257,0,0,38.99115078,74.98298227,74.98298227
258,0,45.25504184,83.64101483,139.8057543,0
259,0,0,0,45.4738188,0
260,0,0,3.272052502,0,0
261,0,0,0.352167766,0,0
262,2.35882734,0,0,160.4002591,0
263,0,0,0,0,0
264,0,0,0,0,0
265,0,0,0,0,0
266,0,0,0,0,0
267,0,0,2.101936534,0,0
268,14.85346839,0,0.148534684,0,0
269,0,0,0,0,0
270,5.191708154,0,0,0,0
271,0,0,0,0,0
