FID_Tulare_fields,TNC,Krat,Kitfox,Corridors,CPAD
0,0,0,0,0,0
1,0,0,0,0,1.365634579
2,0,0,0,0,0
3,0,0,0,0,0
4,38.83846801,0,0.19419234,0,38.83846801
5,0,0,0,0,24.19584995
6,0,0,0,2.506004034,0
7,0,0,2.220434994,0,0
8,0,0,0,0,0
9,0,0,0,0,62.29543317
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,1.972236814,0,0
13,0,0,0,0,0
14,0,0,0,0,0
15,0,0,0,0,0
16,0,0,0,0,3.865680291
17,0,0,0,4.77262775,4.77262775
18,0,0,1.39152263,54.82599163,0
19,0,0,0,0,0
20,0,0,9.276451002,0,0
21,0,0,0.820187994,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,0
27,39.94813407,0,0.210253337,0,0
28,0,0,0,0.175990842,1.353775711
29,0,0,0,0,0
30,0,0,0,0,6.135446184
31,0,0,0,0,0
32,0,0,0,0,0
33,0,0,0,0,0
34,0,0,8.636881333,23.17563158,0
35,0,0,6.657241292,0,0
36,0,0,0,6.295660292,0
37,0,0,0,0,0
38,0,0,0,0,0
39,0,0,9.097767955,0,37.13374675
40,0,0,0.342482193,0,0
41,0,0,0.344482256,6.614059325,0
42,0,0,0,0,230.1366838
43,0,0,0,0,0
44,0,0,14.63292426,0,0
45,0,0,0,0,0
46,7.195596722,0,0,0,7.195596722
47,0,0,0,0,2.068651521
48,0,0,0,11.69260923,11.69260923
49,0,0,0,9.128493761,9.128493761
50,0,0,0,0,0
51,0,0,0,0,0
52,0,0,0,0,0
53,0,0,0,0,0
54,0,0,1.203119301,0,0
55,0,0,0.557046593,0,0
56,0,0,0,11.31129411,0
57,0,0,0,0,3.939445152
58,0,0,0,0,0
59,0,0,0,0,0
60,0,0,0,0,0
61,0,0,0.078509654,0,0
62,0,0,0,0,0
63,0,0,0,0,2.484297095
64,0,0,0,0,0
65,0,0,0,2.922019245,8.990828447
66,0,0,0,0,0
67,0,0,0,0,0
68,0,0,0.184035052,0,0
69,0,0,0,0,0
70,0,0,0,0,0
71,0,0,0,0,0
72,0,44.38398299,54.33211711,0,76.52410861
73,0,0,20.63431691,0,0
74,0,0,0,5.975533935,0
75,0,0,0,0,0
76,0,0,0,0,0
77,0,0,0,0,10.54163363
78,0,0,0,0,0
79,0,0,0,0,0
80,0,0,0.361197986,0,0
81,0,0,1.241001596,0,0
82,0,0,0,0,0
83,0,0,0,0,101.4656183
84,0,0,0.372565554,0,0
85,0,0,0,0,0
86,0,0,0,12.05867158,0
87,0,0,0,0,0
88,0,0,0,0,0
89,0,0,0,0,0
90,0,0,0,0,0
91,0,0,0,0,0
92,0,0,0,0,1.217290898
93,0,0,0,0,0
94,0,0,0,0,3.147856394
95,0,0,0,0,0
96,0,0,0,0,0
97,0,0,0.186282268,0,0
98,0,0,0,0,0
99,0,0,0,0,0
100,0,0,0,0,5.559025761
101,0,0,0,0,0
102,1.576297382,0,0,0,0
103,0,0,0.822910009,20.57275023,0
104,0,0,11.56495349,0,0
105,0,0,0.050516831,0,0
106,0,0,0.17947746,0,0
107,0,0,0,0,0
108,0,0,0,0,17.79523573
109,0,0,0,0,9.022897302
110,0,0,0,0,4.652813295
111,0,0,18.24310684,0,31.03697398
112,0,0,0,0,0
113,0,0,0,1.473918748,0
114,0,0,0,0,0
115,0,0,0,0,0
116,0,0,0,0,0
117,0,0,0,0,0
118,0,0,0,0,0
119,0,0,0,0,0
120,0,0,0,0,0
121,0,0,0,0,0
122,0,0,0,0,0
123,0,0,0,0,0
124,0,0,0,0,0
125,0,0,0,41.79785355,0
126,0,0,0,0,0
127,0,0,0,0,15.08558312
128,0,0,25.50295483,0,94.45538828
129,0,0,0,0,0
130,0,0,0,0,8.298817409
131,0,0,0,3.868425964,3.868425964
132,0,0,0,0,0
133,5.422891714,0,0,0,5.477668398
134,0,0,0,0,0
135,0,0,13.1565542,0,0
136,0,0,0,0,0
137,0,0,0,0,0
138,0,0,0,0,0
139,0,0,0,0,9.019032667
140,0,0,0,0,0
141,0,0,0,0,0
142,0,0,0.075684187,0,0
143,0,0,0.273241362,0,0
144,0,0,0,0,0
145,0,0,6.953786401,0,5.683383116
146,0,0,0,0,0
147,0,0,0.087215324,0,8.721532398
148,0,0,0.764838645,0,152.967729
149,0,0,0,0,0
150,0,0,0,0,0
151,0,0,0,0,0
152,0,0,2.985619196,16.82803547,0
153,0,0,0,0,0
154,22.19729774,0,6.10425688,0,22.19729774
155,0,0,0,0,17.30606654
156,0,0,0,0,0
157,0,0,0.192884545,0,0
158,0,0,0,0,0.074543753
159,0,0,0,0,0.948975872
160,0,0,0,0,0
161,0,0,0,0,0
162,0,0,0,0,0
163,0,0,0,0,0
164,0,0,0,0,1.473986414
165,0,0,0,0,0
166,0,0,11.89070769,0,0
167,0,0,0,7.972200216,0
168,0,0,0,0,0
169,0,0,0,0,0
170,0,0,0.09582342,9.582342007,0
171,0,0,0,0,0
172,0,0,13.27583293,0,0
173,0,0,0,0,0
174,0,0,0,0,0
175,0,0,0.911374772,0,0
176,0,0,0,0,18.03450862
177,0,0,0.354237747,0,70.84754932
178,0,0,13.49966113,0,49.08967683
179,0,0,0,2.000120102,0
180,0,0,0,0,0
181,0,0,4.524094646,0,17.18010625
182,0,0,0,0,18.22353884
183,0,0,0.808902801,0,0
184,0,0,0,0,0
185,0,0,0,0,0
186,0,0,0,0,0
187,0,0,0,0,0
188,0,0,0,0,0
189,0,0,0,0,0
190,0,0,0,0,0
191,0,0,0,0,0
192,107.4580853,0,156.3026695,0,0
193,0,0,0,0,1.40926534
194,0,0,0.168897158,0,0
195,0,0,0,0,0
196,0,0,0,0,0
197,0,0,37.41449489,0,75.58483817
198,0,0,0,0,8.608492357
199,0,0,0,0,0
200,0,0,0,8.715923648,0
201,0,0,0,0,0
202,0,0,0,0,0
203,0,0,0,0,0
204,0,0,0,0,1.490180413
205,0,0,0,0,18.4148689
206,0,0,0,0,0
207,0,0,0,0,7.964378666
208,0,0,0,0,0
209,0,0,0,0,11.67840821
210,0,0,12.97199437,34.74641348,0
211,0,0,0.358117346,0,0
212,0,0,0.264431577,0,0
213,0,0,17.22902115,2.720371761,0
214,0.99357756,0,0,0,1.743118527
215,0,0,0,0,0
216,0,0,0,0.075404125,1.256735417
217,0,0,2.308343615,0,0
218,0,0,0,0,42.77621445
219,0,0,0.751877762,0,0
220,0,0,0,0,0
221,0,0,0,0,2.341313163
222,0,0,0,0,0
223,0,0,0,0,27.11828115
224,0,0,0,0,69.37140259
225,0,0,0,0,9.518844634
226,0,0,0,0,0
227,0,0,0.716010381,0,0
228,0,0,0,0,0
229,0,0,10.13096715,0,0
230,0,0,0,0,0.456032689
231,0,0,0,0,0
232,0,0,0,0,0
233,0,0,2.355621804,0,18.84497443
234,0,0,0,0,0
235,0,0,0,5.210744495,5.210744495
236,0,0,0.938303279,1.019894869,0
237,0,0,0,0,0
238,0,0,10.98870072,0,0
239,0,0,0,0,0
240,0,0,0,0,0
241,0,0,0,0,0
242,0,0,0,0,0
243,0,0,0,0,0
244,0,0,13.69313669,0,0
245,0,0,1.050056291,0,0
246,0,0,0,0,6.93088327
247,0,0,0,0,0
248,0,0,0,0,17.12598369
249,0,0,0,0,0
250,0,0,0,0,0
251,1.905504279,0,0.762201712,36.58568216,0
252,0,0,0,0,0
253,0,0,0,3.731534531,0
254,0,0,0,0,0
255,0,0,0.934651487,0,6.231009914
256,0,0,0,0,2.788256576
257,0,1.535595934,42.99668616,0,82.92218046
258,0,0,0,0,0.232339831
259,0,0,0,0,0
260,0,0,0,0,0
261,0,0,0,0,0
262,0,0,0,0,0
263,0,0,0,0,0
264,0,0,0,0,0
265,0,0,0,0,71.57070362
266,0,0,0.376105376,0,0
267,0,0,0.014478107,0,0
268,0,0,0,0,0
269,0,0,0.047493853,0,0
270,0,0,0,0,0
271,0,0,0,0,17.42346844
272,0,0,2.302819046,0,0
273,0,0,15.29933849,0,0
274,0,0,0,11.53620808,0
275,0,0,0,0,4.703219409
276,0,0,0.757465823,0,0
277,0,0,0,0,0
278,0,0,2.163527512,0,0
279,0,0,0.895061589,0,0
280,0,0,9.180762221,0,0
281,0,0,0,0,0
282,0,0,0,0,0
283,0,0,0,0,0
