FID,Area,Crop,FieldCropPrice,SavedWater,Recharge,Kitfox,TiptonKRat,GiantGarterSnake,TNC,HabCorridors,ConservationAreas,ImpBirdAreas,Nitrate,ModSAGBI,Prox2Wetlands,Depth2GroundWater
45,70.79138189,AlfalfaandAlfalfaMixtures,78836.82244,359.62022,12283.60402,100,100,0,94,0,100,0,0,42,0,20
72,81.34331716,AlfalfaandAlfalfaMixtures,90587.98516,413.2240512,1975.754272,100,100,100,0,0,100,0,100,0,100,5
91,28.28674153,AlfalfaandAlfalfaMixtures,31501.5297,143.696647,3311.30298,100,100,0,0,0,46,91,93.33333333,98,0,20
116,6.07361248,AlfalfaandAlfalfaMixtures,6763.878538,30.8539514,417.3647902,100,100,0,0,0,100,0,83.33333333,75.5,0,11.5
143,97.93285519,AlfalfaandAlfalfaMixtures,109062.9242,497.4989044,11437.29007,100,100,4,0,83,100,0,0,97,100,20
145,18.71795644,AlfalfaandAlfalfaMixtures,20845.25219,95.08721872,2191.16171,100,100,0,0,0,100,0,60,0,0,20
157,137.4203638,AlfalfaandAlfalfaMixtures,153038.1881,698.0954481,16086.70478,100,100,0,0,0,61,0,88.88888889,0,100,5
159,61.97100177,AlfalfaandAlfalfaMixtures,69014.00612,314.812689,4346.86981,100,100,0,100,0,100,100,68.88888889,0,100,15
163,77.46741852,AlfalfaandAlfalfaMixtures,86271.59063,393.5344861,5323.384223,100,100,0,0,0,100,100,93.33333333,92,71.66666667,15
172,41.77169425,AlfalfaandAlfalfaMixtures,46519.0473,212.2002068,4291.849437,100,100,0,0,0,45,0,71.85185185,0,0,20
196,54.01861039,AlfalfaandAlfalfaMixtures,60157.82546,274.4145408,1312.062305,100,100,100,0,0,100,0,100,3,100,20
202,53.23256641,AlfalfaandAlfalfaMixtures,59282.44758,270.4214374,1280.972941,100,100,100,0,0,100,0,100,95.5,100,20
208,81.34331856,AlfalfaandAlfalfaMixtures,90587.98671,413.2240583,0,100,100,0,100,0,100,100,94.44444444,52,100,13
