,FID,Area,Crop,FieldCropPrice,SavedWater,Recharge,Kitfox,TiptonKRat,GiantGarterSnake,TNC,HabCorridors,ConservationAreas,ImpBirdAreas,Nitrate,ModSAGBI,Prox2Wetlands,Depth2GroundWater,Crop_PPIC,PricePerAcre,SavedWater_Norm,Recharge_Norm,Depth2GroundWater_Norm,Kitfox_Total,TiptonKRat_Total,GiantGarterSnake_Total,TNC_Total,HabCorridors_Total,ConservationAreas_Total,ImpBirdAreas_Total,Nitrate_Total,ModSAGBI_Total,Prox2Wetlands_Total,Depth2GroundWater_Norm_Total,outcome
0,2974,49.31952903,MixedPasture,927.7003411000001,227.36302880000002,1278.293374,100.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,78.5,100.0,10.0,alfalfa-pasture,18.81,10.775363501448144,1.618647220487562,50.0,49.31952903,49.31952903,0.0,49.31952903,0.0,49.31952903,49.31952903,49.31952903,38.71583028855,49.31952903,24.659764515,64.68415467091815
1,5672,76.00219576,MixedPasture,1429.601302,350.37012250000004,2351.678467,100.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,62.5,100.0,10.0,alfalfa-pasture,18.81,16.605010277662235,2.977828009996398,50.0,76.00219576,76.00219576,0.0,76.00219576,0.0,76.00219576,76.00219576,76.00219576,47.501372350000004,76.00219576,38.00109788,64.00637217597375
2,1147,18.95461475,MixedPasture,356.5363034,87.380774,1302.5178720000001,100.0,100.0,0.0,100.0,0.0,100.0,100.0,97.77777778,72.0,100.0,10.0,alfalfa-pasture,18.81,4.141216836604214,1.649321647151223,50.0,18.95461475,18.95461475,0.0,18.95461475,0.0,18.95461475,18.95461475,18.533401089310104,13.64732262,18.95461475,9.477307375,63.50525509721197
3,6090,33.04565872,MixedPasture,621.5888405000001,152.34048669999999,1480.2029810000001,100.0,100.0,41.0,100.0,0.0,100.0,100.0,54.44444444,5.5,100.0,20.0,alfalfa-pasture,18.81,7.219837494441515,1.8743165611942332,100.0,33.04565872,33.04565872,13.548720075199999,33.04565872,0.0,33.04565872,33.04565872,17.99152530164241,1.8175112296,33.04565872,33.04565872,62.31066142274123
4,7798,16.91708416,MixedPasture,318.210353,77.98775798,1148.184416,100.0,100.0,0.0,100.0,0.0,100.0,100.0,93.33333333,72.0,100.0,7.5,alfalfa-pasture,18.81,3.696055798221593,1.4538959141671455,37.5,16.91708416,16.91708416,0.0,16.91708416,0.0,16.91708416,16.91708416,15.789278548769433,12.1803005952,16.91708416,6.343906560000001,62.15256038787608
5,2807,11.90696868,MixedPasture,223.9700809,54.89112561,1396.546932,100.0,0.0,0.0,100.0,100.0,100.0,0.0,97.77777778,90.0,100.0,20.0,alfalfa-pasture,18.81,2.601442435795874,1.7683865501771991,100.0,11.90696868,0.0,0.0,11.90696868,11.90696868,11.90696868,0.0,11.642369376264599,10.716271812,11.90696868,11.90696868,60.93443128969025
6,17865,7.64604232,MixedPasture,143.822056,35.2482551,1258.896643,100.0,100.0,0.0,0.0,0.0,92.0,0.0,86.66666667,97.0,100.0,15.0,alfalfa-pasture,18.81,1.6705124113576788,1.5940859848915034,75.0,7.64604232,7.64604232,0.0,0.0,0.0,7.0343589344,0.0,6.626570010921535,7.4166610504,7.64604232,5.73453174,50.302405005096105
7,14446,1.68099699,MixedPasture,31.61955338,7.7493961239999996,276.77082889999997,100.0,100.0,0.0,0.0,0.0,57.0,0.0,86.66666667,97.0,100.0,15.0,alfalfa-pasture,18.81,0.3672653403393318,0.3504628452459017,75.0,1.68099699,1.68099699,0.0,0.0,0.0,0.9581682842999999,0.0,1.4568640580560333,1.6305670802999999,1.68099699,1.2607477425,47.414184219660406
8,14014,3.37844694,MixedPasture,63.54858694,15.57464039,556.2505852999999,100.0,100.0,0.0,0.0,0.0,100.0,0.0,55.55555556,55.0,100.0,20.0,alfalfa-pasture,18.81,0.7381253341510117,0.7043558873914841,100.0,3.37844694,3.37844694,0.0,0.0,0.0,3.37844694,0.0,1.87691496681682,1.858145817,3.37844694,3.37844694,47.076772060118664
9,12334,4.14515739,MixedPasture,77.97041051,19.10917557,682.4870312999999,100.0,100.0,0.0,0.0,0.0,13.66666667,0.0,84.44444444,97.0,100.0,15.5,alfalfa-pasture,18.81,0.905636743434087,0.8642036004424697,77.5,4.14515739,4.14515739,0.0,0.0,0.0,0.5665048434381719,0.0,3.5003551291491037,4.020802668299999,4.14515739,3.21249697725,44.18315011183667
10,17396,18.48025174,MixedPasture,347.6135352,85.19396052,3042.714897,100.0,100.0,0.0,0.0,0.0,4.5,0.0,84.44444444,97.0,100.0,15.5,alfalfa-pasture,18.81,4.037577690515979,3.852857341623949,77.5,18.48025174,18.48025174,0.0,0.0,0.0,0.8316113283,0.0,15.605545912956433,17.9258441878,18.48025174,14.3221950985,43.948836882472314
11,14039,2.94292455,MixedPasture,55.35641079,13.56688218,484.54320240000004,100.0,100.0,0.0,0.0,0.0,0.0,0.0,84.44444444,97.0,100.0,15.0,alfalfa-pasture,18.81,0.6429721131108507,0.6135559518052405,75.0,2.94292455,2.94292455,0.0,0.0,0.0,0.0,0.0,2.48513628653587,2.8546368135,2.94292455,2.2071934124999997,42.90007480807048
12,3819,2.90764508,MixedPasture,54.69280395,13.40424382,298.7471567,100.0,100.0,0.0,0.0,0.0,100.0,0.0,88.88888889,0.0,0.0,20.0,alfalfa-pasture,18.81,0.635264230885984,0.37829051190952756,100.0,2.90764508,2.90764508,0.0,0.0,0.0,2.90764508,0.0,2.584573404476752,0.0,0.0,2.90764508,37.684803356368896
13,742,3.97733033,MixedPasture,74.81358351,18.33549282,465.5943056,100.0,100.0,0.0,0.0,0.0,100.0,0.0,84.44444444,0.0,0.0,10.0,alfalfa-pasture,18.81,0.8689697755895327,0.5895617891501927,50.0,3.97733033,3.97733033,0.0,0.0,0.0,3.97733033,0.0,3.3586345007121188,0.0,0.0,1.988665165,33.53099815421076
14,12624,3.5543559,MixedPasture,66.85743448,16.3855807,416.0800662,100.0,100.0,0.0,0.0,0.0,0.0,0.0,97.77777778,72.0,0.0,10.0,alfalfa-pasture,18.81,0.7765580409298853,0.5268640645045781,50.0,3.5543559,3.5543559,0.0,0.0,0.0,0.0,0.0,3.4753702134123188,2.5591362479999997,0.0,1.77717795,32.39086152964882
15,12832,5.13894338,MixedPasture,96.66352498,23.69052898,353.13646239999997,100.0,0.0,0.0,0.0,0.0,100.0,0.0,24.44444444,0.0,27.0,20.0,alfalfa-pasture,18.81,1.1227597672691256,0.44716132066610437,100.0,5.13894338,0.0,0.0,0.0,0.0,5.13894338,0.0,1.2561861593271582,0.0,1.3875147126,5.13894338,27.154951194456565
16,14736,11.18830624,MixedPasture,210.45204040000002,51.57809177,397.8248422,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,5.0,alfalfa-pasture,18.81,2.44442858835104,0.5037482695016559,25.0,11.18830624,11.18830624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.18830624,2.79707656,25.226782835219446
17,11406,17.06968671,MixedPasture,321.080807,78.69125573,2751.200488,100.0,100.0,0.0,0.0,0.0,0.0,0.0,95.55555556,0.0,0.0,5.0,alfalfa-pasture,18.81,3.7293965045743795,3.483725343087966,25.0,17.06968671,17.06968671,0.0,0.0,0.0,0.0,0.0,16.311033968091987,0.0,0.0,4.2674216775,25.212975185204805
