,Crop2014,Acres,FID,County,PPIC_Regio,Crop_PPIC,Price,Rotations,AdjustedPr,FieldCropP,WaterConsu,SavedWater,SavedWat_1,TNC,Krat,Kitfox,Corridors,CPAD,TNC_Total,Krat_Total,Kitfox_Tot,Corridors_,CPAD_Total,geometry,outcome
0,Mixed Pasture,76.00219576,5672,Kern,KR,alfalfa-pasture,15.91790489,1.181818182,18.81206942,1429.76,4.61,350.37,16.604977180419233,100.0,100.0,100.0,0.0,100.0,76.00219576,76.00219576,76.00219576,0.0,76.00219576,"POLYGON Z ((-13303289.61010229 4252870.434813926 0, -13303621.37280972 4252871.901680708 0, -13303629.71659684 4252879.236311636 0, -13303629.85311866 4252879.920012568 0, -13303631.30576315 4253013.703338744 0, -13303630.21008061 4253335.97847992 0, -13303629.82396504 4253335.981284266 0, -13303630.11390211 4253358.924621855 0, -13303628.52462582 4253359.413523163 0, -13303487.873043 4253362.347553543 0, -13303170.41391215 4253363.814370628 0, -13302682.10696727 4253362.836523586 0, -13302677.73638381 4253356.968655701 0, -13302676.14708916 4253347.677818937 0, -13302676.13229786 4253342.65425343 0, -13302675.98558412 4253292.822392858 0, -13302678.92846349 4253169.6871926 0, -13302678.59287632 4252950.9111662 0, -13302679.27297722 4252942.401482034 0, -13302684.09350904 4252929.600010686 0, -13302685.68278526 4252924.710405288 0, -13302688.06683226 4252917.864814648 0, -13302693.2317873 4252912.486115199 0, -13302703.16489998 4252907.107445261 0, -13302711.11134302 4252902.217756305 0, -13302714.28985311 4252896.839168211 0, -13302715.48177499 4252889.993581636 0, -13302716.27641833 4252878.747273492 0, -13302718.26305363 4252872.879693927 0, -13302718.98948178 4252870.929148023 0, -13302893.08423055 4252871.412729517 0, -13303289.61010229 4252870.434813926 0))",69.43416286340322
1,Mixed Pasture,49.31952903,2974,Kern,KR,alfalfa-pasture,15.91790489,1.181818182,18.81206942,927.8,4.61,227.36,10.775202248309265,100.0,100.0,100.0,0.0,100.0,49.31952903,49.31952903,49.31952903,0.0,49.31952903,"POLYGON Z ((-13303398.77396378 4253370.823228817 0, -13303628.59568582 4253369.23123207 0, -13303633.45792622 4253371.475380683 0, -13303636.63656978 4253383.211044552 0, -13303634.49172498 4253763.864901149 0, -13303631.86864154 4253774.410590429 0, -13303618.62468129 4253779.626815825 0, -13303592.13671231 4253780.930737866 0, -13303585.77939829 4253786.798915803 0, -13303583.13070181 4253797.883098268 0, -13303583.13067022 4253808.967370528 0, -13303582.81963641 4253816.241350948 0, -13303578.89254694 4253818.747518004 0, -13303572.00558648 4253821.355588256 0, -13303249.91107857 4253822.659481463 0, -13303168.99210364 4253824.414450649 0, -13303009.92954365 4253821.355523332 0, -13302995.62600713 4253816.13938601 0, -13302985.03073014 4253809.61930237 0, -13302974.4355385 4253797.231031518 0, -13302968.60818152 4253792.014895913 0, -13302964.37008948 4253781.582890102 0, -13302960.13200187 4253768.542544466 0, -13302956.4236936 4253745.722230589 0, -13302955.89389651 4253382.559033705 0, -13302956.23722348 4253373.687726333 0, -13303398.77396378 4253370.823228817 0))",68.46253370805155
2,Mixed Pasture,33.04565872,6090,Kern,KR,alfalfa-pasture,15.91790489,1.181818182,18.81206942,621.66,4.61,152.34,7.21980256204888,100.0,100.0,100.0,0.0,100.0,33.04565872,33.04565872,33.04565872,0.0,33.04565872,"POLYGON Z ((-13292441.12030668 4226124.689853973 0, -13292434.52849865 4226114.007427902 0, -13292437.87099641 4225850.1557074 0, -13292438.65835791 4225850.140456198 0, -13292438.44519117 4225832.079511191 0, -13292448.77542225 4225834.518374249 0, -13292457.51646011 4225839.883804103 0, -13292496.45394759 4225846.224820572 0, -13292528.18720609 4225848.409221466 0, -13292538.38103298 4225848.212078307 0, -13292554.06539805 4225849.15131655 0, -13292562.8064582 4225850.614631332 0, -13292569.56085139 4225855.004514292 0, -13292574.32865683 4225858.418813275 0, -13292799.21221143 4225856.467670297 0, -13293155.60877996 4225861.833127679 0, -13293167.13101025 4225860.857605583 0, -13293167.96977263 4225860.369890056 0, -13293171.1043547 4225860.369849456 0, -13293175.13679768 4225856.904592271 0, -13293175.1357524 4225858.608719038 0, -13293177.38190648 4225856.337727197 0, -13293179.28898596 4225856.858061596 0, -13293181.19625989 4226116.157027652 0, -13293180.53402507 4226118.595862209 0, -13293178.21619246 4226121.034787968 0, -13293174.90534416 4226122.254099599 0, -13293165.6344171 4226125.506015312 0, -13293152.05927446 4226127.53848073 0, -13293125.57137506 4226127.944905546 0, -13293007.57574595 4226126.247324459 0, -13292884.79506763 4226128.513948129 0, -13292509.72449343 4226128.02627678 0, -13292450.52364227 4226126.075122749 0, -13292441.12030668 4226124.689853973 0))",67.86996709367482
3,Mixed Pasture,18.95461475,1147,Kern,KR,alfalfa-pasture,15.91790489,1.181818182,18.81206942,356.58,4.61,87.38,4.141173348246233,100.0,100.0,100.0,0.0,100.0,18.95461475,18.95461475,18.95461475,0.0,18.95461475,"POLYGON Z ((-13302671.57563373 4253379.014767352 0, -13302685.57110841 4253374.824963769 0, -13302687.09220434 4253374.624444161 0, -13302690.08356458 4253374.971770575 0, -13302692.56748769 4253374.496123484 0, -13302939.70093413 4253373.518125721 0, -13302940.09532459 4253373.79215068 0, -13302944.38579936 4253376.772133101 0, -13302945.31644613 4253377.845960068 0, -13302949.02459989 4253382.12441883 0, -13302948.51079165 4253385.286951785 0, -13302947.03805656 4253394.349168766 0, -13302948.2300443 4253702.41809146 0, -13302943.06484834 4253721.000284191 0, -13302913.59184426 4253791.173706498 0, -13302912.86847174 4253792.395263066 0, -13302899.35971224 4253799.730492575 0, -13302678.83447567 4253799.277448143 0, -13302674.42898897 4253796.919868525 0, -13302673.28419787 4253796.307364707 0, -13302670.50292881 4253788.972181496 0, -13302669.70836694 4253769.90092801 0, -13302670.50292439 4253569.898451056 0, -13302668.11908195 4253400.706073402 0, -13302667.72165675 4253389.459383352 0, -13302667.72170166 4253380.16853324 0, -13302671.57563373 4253379.014767352 0))",67.35686222470771
4,Mixed Pasture,16.91708416,7798,Kern,KR,alfalfa-pasture,15.91790489,1.181818182,18.81206942,318.25,4.61,77.99,3.696155978824945,100.0,100.0,100.0,0.0,100.0,16.91708416,16.91708416,16.91708416,0.0,16.91708416,"POLYGON Z ((-13302664.82282591 4254038.091942322 0, -13302665.834408 4253891.92533513 0, -13302667.82103545 4253875.624990432 0, -13302669.97208337 4253858.415790803 0, -13302696.70227944 4253857.875593906 0, -13302822.63804186 4253858.556811028 0, -13302822.14707822 4253860.099411008 0, -13302822.18006885 4253860.098721529 0, -13302826.55065452 4253861.565932008 0, -13302827.54824742 4253864.758511025 0, -13302828.53724902 4253867.923047629 0, -13302829.33183316 4253879.659355508 0, -13302827.74255393 4253973.550181251 0, -13302829.72909776 4253977.951308411 0, -13302832.11301921 4253980.396384398 0, -13302840.85404227 4253979.907398105 0, -13302863.50135827 4253979.907439758 0, -13302902.94734441 4253980.829273163 0, -13302902.83607355 4253984.797647489 0, -13302902.83620998 4254245.936235071 0, -13302905.66487089 4254318.514706263 0, -13302905.22001957 4254322.225009492 0, -13302902.83612932 4254331.027469428 0, -13302901.42807549 4254333.800597494 0, -13302900.84948245 4254334.939839168 0, -13302899.26027129 4254335.428796402 0, -13302898.06825419 4254335.428812384 0, -13302752.20787996 4254334.520634337 0, -13302667.15611774 4254333.990991744 0, -13302664.82282591 4254038.091942322 0))",67.2826926631375
5,Mixed Pasture,11.90696868,2807,Kern,KR,alfalfa-pasture,15.91790489,1.181818182,18.81206942,223.99,4.61,54.89,2.601384814433918,100.0,0.0,100.0,100.0,100.0,11.90696868,0.0,11.90696868,11.90696868,11.90696868,"POLYGON Z ((-13229200.65713577 4221608.472260597 0, -13229194.09034128 4221619.720039334 0, -13229196.12805393 4221700.600351131 0, -13229205.28103966 4221773.497453325 0, -13229233.66226588 4221846.23348038 0, -13229235.29757885 4221846.510862187 0, -13229240.49029043 4221860.377244411 0, -13228952.38999334 4221822.205374418 0, -13228928.01143476 4221538.907456367 0, -13229199.74817288 4221585.994541247 0, -13229200.65713577 4221608.472260597 0))",67.10023080240566
6,Mixed Pasture,3.97733033,742,Kern,KR,alfalfa-pasture,15.91790489,1.181818182,18.81206942,74.82,4.61,18.34,0.869181954758937,0.0,100.0,100.0,0.0,100.0,0.0,3.97733033,3.97733033,0.0,3.97733033,"POLYGON Z ((-13251199.93648442 4198260.534009889 0, -13251204.28170106 4198254.148847509 0, -13251254.60900231 4198256.094964202 0, -13251254.77454323 4198257.027021571 0, -13251256.19831067 4198276.205568382 0, -13251251.43047309 4198283.990314098 0, -13251253.54952524 4198493.531638162 0, -13251251.430473 4198497.424137429 0, -13251250.37079567 4198505.857724587 0, -13251250.37092358 4198526.617454812 0, -13251252.4899516 4198558.405914743 0, -13251254.60901167 4198573.327094392 0, -13251255.57100476 4198704.099279319 0, -13251207.99151514 4198707.406296644 0, -13251202.26947546 4198704.606186079 0, -13251200.29702271 4198703.640971316 0, -13251199.08843483 4198660.326134376 0, -13251199.93648442 4198260.534009889 0))",50.144863659126486
7,Mixed Pasture,3.37844694,14014,Kern,KR,alfalfa-pasture,15.91790489,1.181818182,18.81206942,63.56,4.61,15.57,0.737904200414212,0.0,100.0,100.0,0.0,100.0,0.0,3.37844694,3.37844694,0.0,3.37844694,"POLYGON Z ((-13261394.56955456 4214346.570569839 0, -13261387.02040511 4214345.596214043 0, -13261365.96250985 4214346.083402796 0, -13261361.98933809 4214345.596045543 0, -13261359.2081629 4214340.236272627 0, -13261359.2080889 4214336.338236739 0, -13261359.20810353 4214333.902011625 0, -13261370.73042201 4214332.927516498 0, -13261373.11436681 4214330.491121648 0, -13261373.11425899 4214322.207911938 0, -13261373.11428299 4214317.335345187 0, -13261377.88217071 4214315.873565122 0, -13261378.27949496 4214298.332486533 0, -13261375.10083895 4214296.870664367 0, -13261357.61878295 4214296.383531313 0, -13261353.24822213 4214297.845272074 0, -13261327.81975333 4214297.358026011 0, -13261325.03841666 4214291.510996529 0, -13261313.11881837 4214292.485464409 0, -13261308.74837651 4214298.33247673 0, -13261284.90909011 4214299.794340321 0, -13261281.73056842 4214292.972665552 0, -13261276.31218837 4214292.142152059 0, -13261277.1936344 4214257.286214674 0, -13261278.55196225 4214256.91607787 0, -13261293.25284407 4214253.01800024 0, -13261309.1456722 4214253.505220856 0, -13261501.2748322 4214255.241041074 0, -13261504.23013634 4214258.865069075 0, -13261507.41688319 4214275.61436388 0, -13261508.99940715 4214313.437292055 0, -13261498.66758472 4214313.437286164 0, -13261498.66756084 4214324.156955817 0, -13261507.13198306 4214324.156873541 0, -13261509.42671727 4214379.735885412 0, -13261509.42458204 4214379.835188508 0, -13261509.39523447 4214381.165818722 0, -13261508.99792917 4214383.602210168 0, -13261504.62746421 4214386.525594857 0, -13261408.07843285 4214384.576694053 0, -13261405.95802583 4214380.280270207 0, -13261400.67157973 4214369.569158809 0, -13261398.94003217 4214365.086278729 0, -13261398.54275402 4214356.315805065 0, -13261397.35080451 4214349.006961125 0, -13261394.56955456 4214346.570569839 0))",50.12298403340237
8,Mixed Pasture,2.90764508,3819,Kern,KR,alfalfa-pasture,15.91790489,1.181818182,18.81206942,54.7,4.61,13.4,0.635062060728994,0.0,100.0,100.0,0.0,100.0,0.0,2.90764508,2.90764508,0.0,2.90764508,"POLYGON Z ((-13284752.5882674 4247904.651630305 0, -13284755.04171038 4247708.255214301 0, -13284754.87462703 4247682.516103745 0, -13284756.2483435 4247682.497718453 0, -13284756.40244812 4247680.221675468 0, -13284757.8858538 4247678.918307391 0, -13284760.2168966 4247678.136393471 0, -13284782.04294254 4247679.700468028 0, -13284785.22145698 4247682.046261213 0, -13284786.70492622 4247691.169418956 0, -13284786.70483097 4247738.287390165 0, -13284788.87756469 4247738.177440201 0, -13284789.88340239 4247741.476763275 0, -13284807.89527087 4247758.941020564 0, -13284814.25235769 4247763.632992794 0, -13284862.55512596 4247764.807256885 0, -13284862.58169726 4247766.011346051 0, -13284877.61183478 4247766.239593983 0, -13284884.60460451 4247766.500277723 0, -13284884.6047232 4247770.14958966 0, -13284886.08797687 4247852.258089351 0, -13284866.69831379 4247852.779530465 0, -13284813.19282302 4247852.779528229 0, -13284812.76917513 4247903.348296996 0, -13284812.76918525 4247904.390846373 0, -13284776.95725612 4247906.736848327 0, -13284758.30971249 4247906.737009093 0, -13284756.33072617 4247906.842760827 0, -13284756.32325256 4247905.689086905 0, -13284752.5882674 4247904.651630305 0))",50.10584367678817
9,Mixed Pasture,7.64604232,17865,Kern,KR,alfalfa-pasture,15.91790489,1.181818182,18.81206942,143.84,4.61,35.25,1.670592361246049,0.0,100.0,100.0,0.0,92.0,0.0,7.64604232,7.64604232,0.0,7.0343589344,"POLYGON Z ((-13274805.21034059 4213596.116504041 0, -13274687.60347579 4213472.687532715 0, -13274741.6390853 4213420.71789255 0, -13275072.73954421 4213418.11945128 0, -13275070.09074775 4213535.05141625 0, -13275062.67405784 4213540.898158963 0, -13275056.84670144 4213543.496561063 0, -13275019.23367851 4213542.846944564 0, -13274871.4305025 4213544.795920348 0, -13274864.54353776 4213547.39442092 0, -13274858.71624729 4213553.240968176 0, -13274848.12100919 4213552.591425767 0, -13274843.35320413 4213553.241075232 0, -13274833.81741476 4213563.63503668 0, -13274831.69846115 4213572.080267464 0, -13274832.75789782 4213579.226187319 0, -13274805.21034059 4213596.116504041 0))",48.94509872687434
