,Acres,FieldCropP,SavedWat_2,TNC_Total,Krat_Total,Kitfox_Tot,Corridor_1,CPAD_Total,alfalfa-pasture,corn,field-crops-grains,trees-vines,veg-fruits,PPIC_Regio
0,156638.4035200299,251676285.74999964,117155.28738825084,24703.013692154505,2226.6958423849815,38814.14509465453,4635.700377595628,43652.8396377204,75284.9782559801,23740.21632571,42664.72593231999,11662.843735009996,3285.639271010002,KR
1,156625.0805666497,251413866.4099998,117177.8876201787,24515.04572687064,2286.7989324979326,39055.64587983839,4313.068988064834,43488.73545921833,75284.97825598015,23740.216325710015,42686.584977380044,11661.239308970004,3252.0616986100013,KR
2,156714.34546631965,252357660.2299998,117231.82712635223,24226.530755889715,2005.0749893504076,38474.69573508094,3964.6052045143106,43379.362807407655,75284.97825598001,23740.21632571002,42659.420754359984,11650.714723989999,3379.0154062800016,KR
3,156582.05322493947,251406340.5399994,117141.48274309076,23960.30365291854,2376.7730973221287,39038.279904706615,4285.408929881087,43152.270127421834,75284.9782559801,23740.216325710004,42642.93595098,11648.294374610005,3265.62831766,KR
4,156637.28069255993,251442949.58000007,117176.28682728698,24528.703409382742,2065.4361513460763,38617.25234401272,4376.89117116124,44503.99332624319,75284.97825598007,23740.216325710007,42688.918497800005,11686.214197109995,3236.9534159600016,KR
5,156631.16694317007,251382620.34999985,117155.0163648501,23989.357509028483,2154.062492406642,38485.5036119617,4185.1844911179105,43388.07186428479,75284.97825598015,23740.21632571002,42696.723997230016,11664.821705190005,3244.4266590600005,KR
6,156570.98017047008,251320318.3999999,117132.86848852615,24881.18331321121,2025.709088956439,38786.915009571996,3810.244206454158,45327.618073443206,75284.9782559801,23740.21632571,42641.56959090999,11651.045100840009,3253.170897030001,KR
7,156557.82058740003,251128985.14999962,117120.32146993815,24698.90683751186,2028.511635554157,38971.91881288924,4791.1159861143415,43581.257728365985,75284.97825598005,23740.216325710015,42656.22904676999,11641.062883689992,3235.3340752500008,KR
8,156699.94620941998,251948030.48999965,117218.59962454923,24316.410051196606,2226.323210118211,38677.16779533353,4184.759163323192,43922.89997645426,75284.97825598005,23740.21632571,42686.61266795004,11696.012008580003,3292.1269512000013,KR
9,156633.18799968966,251695900.79999986,117189.69371148456,24370.93326464178,2224.457559650905,38898.76690541425,4461.104130074706,43131.28154699992,75284.97825598012,23740.216325710022,42660.36996765999,11648.489789680001,3299.1336606600016,KR
10,156616.92684496992,251479501.0899998,117163.24455730424,23796.359057249378,2088.7621084383554,38507.343363319356,4528.947614591434,43050.94418718699,75284.97825598014,23740.216325710004,42665.63731307004,11670.181731650004,3255.913218560001,KR
11,156619.38718628025,251575960.21999922,117178.5291072211,24479.583531465927,2106.6220424105045,38704.71659953476,4239.848252759465,43200.38616061603,75284.97825598008,23740.216325709993,42646.21093245996,11699.982690379999,3247.998981750001,KR
12,156562.65545436004,251252229.07999966,117145.78402094718,24368.732374929106,2179.0052310884553,38826.59994169946,3994.0025132686724,42703.73914361784,75284.97825598007,23740.216325710004,42643.240986270015,11645.595518310001,3248.624368090001,KR
13,156665.74855438026,251274397.37999994,117183.7955403534,24413.617365445974,2130.1122223154343,38840.06504549676,4250.941722259618,44844.42217776882,75284.97825598018,23740.216325709993,42758.51518672996,11638.538592040006,3243.500193920001,KR
14,156626.42211712978,251596330.67000017,117176.35117097173,23745.194567638984,2404.008270824726,38935.673706539994,4303.416128684167,43293.66339997153,75284.97825598001,23740.216325710007,42650.81509993005,11701.682963310002,3248.7294722,KR
15,156535.6945111701,251069020.05999964,117114.61243024471,24873.065910033274,1941.6836439524616,38615.75945356702,4128.81275752941,44260.38716817399,75284.97825598002,23740.21632571,42642.16690813001,11632.375790929993,3235.9572304200005,KR
16,156750.15555831,251500348.50999972,117207.23224018734,24246.664096748536,1908.9489319010731,38410.58941179535,3954.422912363364,44128.903531621734,75284.97825598012,23740.21632571002,42816.24621300999,11659.182734240007,3249.5320293700006,KR
17,156604.78544457964,251501737.25999945,117155.44142313318,24211.672665597187,1925.1112155113144,38400.11623585093,4056.1729281126277,43902.9777784643,75284.97825597998,23740.21632571,42649.28604125994,11668.7414678,3261.5633538300012,KR
18,156594.31606262995,251256621.74999943,117161.85824336237,24134.76444958145,2271.8510306980993,39282.934390112445,4325.570749291901,44368.763898454185,75284.97825598011,23740.216325710004,42682.86886069007,11630.277424120006,3255.9751961300008,KR
19,156654.27761955978,251400140.02999932,117161.21675632028,24454.75137753318,2111.410596174026,39036.11616514772,4351.0307077025645,44038.82008733168,75284.97825598011,23740.21632571001,42720.92475616999,11662.899483259998,3245.2587984399997,KR
20,156569.97477840018,251118766.29999995,117133.62696408681,24585.23512135033,1937.1412224303688,38677.94494927494,4106.927708000245,43915.86472470105,75284.97825598007,23740.21632571,42672.88153636997,11635.898993700002,3235.999666640001,KR
21,156612.93437019986,251591787.72999957,117168.95749661491,24525.68058197913,2095.3320732079324,38650.14430273016,4048.85718572388,43344.537401972346,75284.97825598004,23740.216325710022,42643.38866081,11677.505731180006,3266.8453965200033,KR
22,156722.54646321034,251871764.17999983,117212.31149169031,24631.605202801424,2072.928339050182,38629.20781217609,4108.80320630787,44083.068436526926,75284.97825598014,23740.216325710007,42722.98996256006,11694.968792150003,3279.393126810001,KR
