,Acres,FieldCropP,SavedWat_2,TNC_Total,Krat_Total,Kitfox_Tot,Corridor_1,CPAD_Total,alfalfa-pasture,corn,field-crops-grains,trees-vines,veg-fruits,PPIC_Regio
0,99382.45411190976,166139498.04999986,70564.23950940534,3594.3355524171775,212.21327392740292,14668.09860399319,4307.619798978258,25295.494829222327,38810.24809153995,16192.485730420014,34013.28078761002,9699.077948050002,667.3615542899998,SE
1,99490.35160254991,166326638.45999965,70695.14186215473,3904.1002435393775,181.1047743990838,15847.433009730361,4420.108753115242,26138.84766865983,38870.30208077005,16185.416329970001,34013.28078760999,9722.286798649997,699.06560555,SE
2,99353.17365986007,166120994.64999956,70570.96829901662,3306.005261132581,173.9608233475955,14801.751783677722,3990.088030193974,25706.485678280616,38777.56623393002,16169.59747119,34013.28078760999,9716.249295720012,676.4798714099999,SE
3,99476.42680268992,166368880.10999998,70680.94530545839,3477.146130904096,176.58308826466046,14647.716036699314,4494.765758959538,24992.744771495687,38801.85167415004,16239.972685059995,34013.28078761002,9712.544720529999,708.77693534,SE
4,99376.30562021978,166204057.00999987,70595.78351355776,3395.207109846413,193.1303565438221,14881.11231179221,4564.425671999316,26025.701545531636,38775.66139879,16168.337557279998,34013.280787610005,9748.966972200009,670.05890434,SE
5,99398.0745116097,166211995.6899998,70591.09422378232,2998.3721476389496,217.12170861625,14693.529101878774,4552.425328046137,26192.158196182838,38776.375387859975,16214.809522550006,34013.28078761004,9700.798524069998,692.81028952,SE
6,99516.35980101986,166472307.1899993,70607.08070480888,3070.4776688400425,214.0309361729302,15336.612186997876,4434.753792442309,25325.104705640253,38808.97966574002,16324.854379799992,34013.28078761002,9714.543727889994,654.7012399800001,SE
7,99435.32702107981,166257800.83000013,70634.34682880864,3929.5746518131673,183.3131428246636,14907.768865380987,4181.2756769843445,25461.54877357315,38831.240212789984,16218.416390479999,34013.280787610005,9719.684150740013,652.70547946,SE
8,99425.26453127987,166231144.85999992,70623.55463799497,2933.251093441288,159.41440355857372,14428.033508834505,4674.34654385966,24311.267176126377,38827.36350587994,16179.05657696001,34013.28078761002,9722.027527759998,683.5361330700001,SE
9,99347.46700352982,166117262.16999966,70524.14169475614,3246.601478810566,213.64695670131275,15200.058528461012,3983.6461529749213,25890.027914353104,38781.48315033998,16167.013902439987,34013.28078761001,9728.159010809997,657.53015233,SE
10,99420.5475972301,166243301.1299999,70650.23581940324,3537.1463852182937,203.50243271690132,14569.358840642959,4542.275693368974,25843.609993101778,38803.78276922001,16215.571508759997,34013.280787609976,9711.012114000003,676.9004176399998,SE
11,99351.76315113995,166121795.58999982,70611.33518725794,3086.318821500163,181.6121205114427,14529.088081584201,4681.6936637793215,26422.95955084744,38771.72241294001,16181.753559170014,34013.280787610034,9710.963973349999,674.0424180699999,SE
12,99298.0011657799,165981692.6099999,70514.90155161862,3541.8976211451813,209.46484761288784,14766.31433876533,4093.939349461049,24877.341437320418,38774.79041175996,16164.310147990001,34013.28078761002,9690.352391979997,655.2674264399998,SE
13,99404.90946917988,166177275.66999978,70626.64508468681,3534.707640053377,173.91333906776333,14751.026211282167,5037.184275983538,24149.80704444484,38826.204490340024,16203.230140989994,34013.280787610005,9702.302345360002,659.8917048800002,SE
14,99413.94232720006,166246169.7499999,70598.0647896648,3298.651511757924,215.4711924921775,15458.65743685769,4214.719830312445,23750.92098306651,38793.11925511,16199.385955750009,34013.28078761003,9721.910355600005,686.2459731299999,SE
15,99321.48544563986,166025955.94,70579.18869223632,3352.0081643304593,200.1767018436111,14427.532880178234,3924.853620109515,25639.614946072987,38778.53500871003,16151.09080319999,34013.280787610005,9693.843121249996,684.7357248699998,SE
16,99279.90857619973,165962457.65999958,70495.80317600533,3688.6238995685258,180.3858322221957,14833.46498587122,4387.428290304434,24990.39495300308,38760.46759088995,16150.752322460015,34013.280787610005,9698.597901169993,656.8099740700001,SE
17,99506.82772861973,166456840.4499998,70637.49187014242,3711.7105390514107,216.107137680701,15313.75596509876,4450.704891949637,26163.94194561668,38798.309058399995,16200.348070980004,34013.28078760998,9745.485955879993,749.4038557499998,SE
18,99360.11924050993,166115938.29999974,70534.04867244804,3769.5770717996747,224.38689256411215,15773.068104519321,4479.6284965976,25580.48949839312,38779.19302082005,16166.011935570014,34013.28078760999,9700.288790909995,701.3447056000001,SE
19,99365.02899199985,166112127.0999999,70613.42538211844,3389.8121640647714,254.94194710370004,15511.785099044295,4070.691023287384,24901.471596858148,38810.59336217994,16174.68770485001,34013.28078760999,9712.64512148,653.82201588,SE
20,99392.15549642988,166213357.6099995,70585.3403384905,3098.5294791912793,247.43409835709193,14836.949153391328,4084.5900549739144,25395.300304357082,38762.73396946,16182.508099530009,34013.28078761001,9710.97193175,722.6607080799998,SE
21,99394.33897887985,166136960.09999955,70612.52262071882,3610.52852494768,199.82710726119058,14996.26120954206,4222.580579641962,26130.770101521095,38837.792276590015,16156.936890999998,34013.28078760998,9708.49752589,677.8314977899997,SE
22,99361.04683103011,166163815.52999982,70585.43977873115,3180.1022168929867,235.11393043281913,14860.890062557164,4055.0878696821646,25414.573126450312,38769.32549356998,16194.823099519996,34013.28078761,9726.946865379992,656.67058495,SE
23,99506.29551792971,166404045.22000012,70659.0216571281,3562.25085115341,188.02704251991224,14991.20898472515,4706.373390474533,24799.01346179895,38823.88578134996,16289.557335899988,34013.28078761,9692.751627939992,686.8199851299997,SE
24,99436.57659752965,166294185.64000002,70699.67126762205,3572.7539371146304,182.289069927842,15034.10647920992,4676.612647016325,24757.937268347367,38787.71888427998,16232.396169730011,34013.280787610005,9708.857280539998,694.32347537,SE
25,99437.78890979994,166253491.42,70629.74723023071,3806.5199770516533,215.2626241379154,15234.463703269555,4674.939138794644,25526.397658721584,38817.36266295,16203.70956111,34013.28078760999,9702.590658969997,700.8452391599999,SE
26,99342.71602692998,166075640.71000016,70576.6344429199,3661.08076096712,210.50874430300655,15198.260796836921,4514.230218424047,25322.651250853593,38784.72395368004,16190.687094969997,34013.28078760998,9693.61268667,660.411504,SE
27,99382.22361413,166163455.95999956,70647.38519917385,3399.212643808875,166.95127075021122,15204.787695346306,4606.609958311659,24873.221630929493,38773.55513630006,16180.88199656999,34013.280787610005,9692.919966899999,721.5857267499998,SE
28,99349.98482951998,166115252.7399999,70539.79475850544,3795.7250547148114,212.42513888451933,14716.653842018599,4154.965071073828,25994.50304095855,38774.36090446004,16192.822043139995,34013.28078761,9707.310227200005,662.21086711,SE
29,99468.97709910973,166389445.30999988,70637.88183187015,3826.82852291096,224.3222680684533,14599.965819063875,4542.931942006148,25562.102027475383,38767.954155079984,16286.087311919988,34013.280787609976,9702.855077430006,698.7997670699998,SE
30,99450.74547834996,166302451.9299998,70652.15248129475,3442.1387269888187,207.96906521496626,14793.059082632466,4557.304461382432,26093.76810529848,38818.86491162003,16163.518187210002,34013.28078760998,9737.163113949995,717.9184779599999,SE
31,99323.44604154004,166027342.25999987,70492.04004533305,3457.785624939419,195.20634854571725,14940.55182573219,4673.587305937339,25078.258760146997,38783.31244061002,16152.348361470005,34013.28078761001,9695.240127799996,679.2643240499999,SE
32,99283.51118738986,165969095.11999974,70525.81658037654,3180.3205798598055,266.79029130239644,14394.96801093934,4479.3789088762815,24984.104237497697,38760.14300831003,16156.014899519996,34013.28078761,9696.036446040003,658.0360459099998,SE
33,99473.10710939964,166392515.42999992,70698.70221272852,3317.0792892684017,175.46150735068315,15308.802431277001,4528.38138418204,24762.630064580913,38819.378871579946,16216.290062069993,34013.28078760999,9764.378010759996,659.7793773799999,SE
34,99381.9140329299,166217120.05000013,70663.07920890454,3025.2369827976377,220.20064229978593,15482.197815374413,4572.288324507476,25225.611493316694,38778.56023911995,16154.86909443999,34013.28078760998,9757.016874339995,678.1870374199998,SE
35,99342.56539852994,166054444.0899997,70548.55719852653,3964.269423754851,180.37818801149444,14751.141441187217,4447.5979021278235,26362.768221315146,38803.64313309995,16179.167129039994,34013.280787610005,9694.001243660001,652.4731051199999,SE
36,99351.57288251966,166122317.12999985,70539.04993160562,3522.4099631012764,299.994397286966,14638.811635357271,4293.544070429278,26035.817473396295,38760.61664052995,16165.649807329984,34013.280787610005,9706.599602729999,705.4260443199998,SE
37,99302.00718647987,165992652.07999974,70516.54329049241,3799.914079614594,225.48884018499024,15119.405080463408,4306.58477025106,25741.519987993648,38774.04497831004,16157.135023290002,34013.28078761001,9694.413327859997,663.13306941,SE
38,99383.34622352973,166175926.0699998,70578.19234002205,3531.549657168365,213.48895117893616,15385.268922207151,4442.870417727664,25923.93059035902,38783.185955569956,16175.03826825001,34013.28078760997,9713.012840310013,698.8283717899999,SE
39,99388.82788520983,166232298.31000015,70584.9893729356,3577.0382079843826,185.53094270935847,14662.620729988035,4448.399446366281,24549.487689248508,38778.52834864004,16184.168392900003,34013.28078761001,9749.321629640002,663.5287264199999,SE
40,99419.88742701992,166240052.3899999,70569.54493871062,3407.3722732155225,201.66870721353422,14801.945022827149,3951.0611244368083,25642.68646882403,38793.27923644997,16179.311337499994,34013.280787610005,9710.430039440002,723.5860260199998,SE
